Feature,Consonants.Initial,Consonants.Final,Short Vowels,Digraphs,Blends,Common Long Vowels,Other Vowels,Inflected Endings,Syllable Junctures,Unaccented Final Syllables,Harder Suffixes,Bases Or Roots
bed,b,d,e,,,,,,,,,
ship,,p,i,sh,,,,,,,,
when,,,e,wh,,,,,,,,
lump,l,,u,,mp,,,,,,,
float,,t,,,fl,oa,,,,,,
train,,n,,,tr,ai,,,,,,
place,,,,,pl,a-e,,,,,,
drive,,v,,,dr,i-e,,,,,,
bright,,,,,br,igh,,,,,,
shopping,,,o,sh,,,,pping,,,,
spoil,,,,,sp,,oi,,,,,
serving,,,,,,,er,ving,,,,
chewed,,,,ch,,,ew,ed,,,,
carries,,,,,,,ar,ies,rr,,,
marched,,,,ch,,,ar,ed,,,,
shower,,,,sh,,,ow,,,er,,
bottle,,,,,,,,,tt,le,,
favor,,,,,,,,,v,or,,
ripen,,,,,,,,,p,en,,
cellar,,,,,,,,,ll,ar,,
pleasure,,,,,,,,,,,ure,pleas
fortunate,,,,,,,or,,,,ate,fortun
confident,,,,,,,,,,,ent,confid
civilize,,,,,,,,,,,ize,civil
opposition,,,,,,,,,,,tion,pos
