Feature,Consonants.Initial,Consonants.Final,Short Vowels,Digraphs,Blends,Common Long Vowels,Other Vowels,Inflected Endings,Syllable Junctures,Unaccented Final Syllables,Harder Suffixes,Bases Or Roots
fan,f,n,a,,,,,,,,,
pet,p,t,e,,,,,,,,,
dig,d,g,i,,,,,,,,,
rob,r,b,o,,,,,,,,,
hope,h,p,,,,o-e,,,,,,
wait,w,t,,,,ai,,,,,,
gum,g,m,u,,,,,,,,,
sled,,,e,,sl,,,,,,,
stick,,,i,,st,,,,,,,
shine,,,,sh,,i-e,,,,,,
dream,,,,,dr,ea,,,,,,
blade,,,,,bl,a-e,,,,,,
coach,,,,ch,,oa,,,,,,
fright,,,,,fr,igh,,,,,,
chewed,,,,ch,,,ew,-ed,,,,
crawl,,,,,cr,,aw,,,,,
wishes,,,,sh,,,,-es,,,,
thorn,,,,th,,,or,,,,,
shouted,,,,sh,,,ou,-ed,,,,
spoil,,,,,,,oi,,,,,
growl,,,,,,,ow,,,,,
third,,,,th,,,ir,,,,,
camped,,,,,,,,-ed,,,,
tries,,,,,tr,,,-ies,,,,
clapping,,,,,,,,-pping,,,,
riding,,,,,,,,-ding,,,,
